,task_reward,velocity_penalty,position_penalty,acceleration_penalty,velocity_over_limit,position_over_limit,acceleration_over_limit,control_penalty,net_reward
0,-0.5448148021938564,-0.01577863861363711,-0.007000000000000003,-0.7606495791867599,0.0,0.0,0.001953125,-0.7834282178003971,-1.3282430199942532
0,-0.5228239651479731,-0.015430996423935407,-0.007000000000000003,-0.733353038223209,0.0,0.0,0.001983642578125,-0.7557840346471445,-1.2786079997951174
0,-0.5602710269086993,-0.015165592620253632,-0.007000000000000003,-0.7146706695239207,0.0,0.0,0.00201416015625,-0.7368362621441743,-1.2971072890528736
0,-0.5119335982026822,-0.014894021372573901,-0.007000000000000003,-0.6948314816068215,0.0,0.0,0.001922607421875,-0.7167255029793954,-1.2286591011820778
0,-0.5465774111527324,-0.01458539419538079,-0.007000000000000003,-0.6706911367226105,0.0,0.0,0.00189208984375,-0.6922765309179914,-1.2388539420707239
0,-0.5435431801886227,-0.014299550692926223,-0.007000000000000003,-0.6490025381731377,0.0,0.0,0.001983642578125,-0.670302088866064,-1.2138452690546866
0,-0.5293695453944005,-0.014027787429438172,-0.007000000000000003,-0.6277448427541146,0.0,0.0,0.002105712890625,-0.6487726301835527,-1.1781421755779533
0,-0.5224740719367408,-0.013705027745303452,-0.007000000000000003,-0.6026394413561421,0.0,0.0,0.001953125,-0.6233444691014456,-1.1458185410381863
0,-0.5128504129855048,-0.013394107225797114,-0.007000000000000003,-0.5786275364589815,0.0,0.0,0.001983642578125,-0.5990216436847786,-1.1118720566702833
0,-0.5297409598851642,-0.013137387001184107,-0.007000000000000003,-0.555713252002802,0.0,0.0,0.0020751953125,-0.575850639003986,-1.1055915988891503
0,-0.5251605586888424,-0.012783282632457451,-0.007000000000000003,-0.5312581053759396,0.0,0.0,0.002349853515625,-0.5510413880083971,-1.0762019466972395
0,-0.5267764577380172,-0.012484348792169694,-0.007000000000000003,-0.5068652304960343,0.0,0.0,0.002044677734375,-0.5263495792882039,-1.053126037026221
0,-0.5438349476450173,-0.012218592385653489,-0.007000000000000003,-0.48295526879629236,0.0,0.0,0.00189208984375,-0.5021738611819458,-1.0460088088269632
0,-0.5413981565836787,-0.011857652667925399,-0.007000000000000003,-0.45244680038034246,0.0,0.0,0.002044677734375,-0.47130445304826785,-1.0127026096319467
0,-0.5470399712143399,-0.011575065122278062,-0.007000000000000003,-0.4284967591491712,0.0,0.0,0.002044677734375,-0.4470718242714492,-0.9941117954857892
0,-0.5074265472868672,-0.011289859811354252,-0.007000000000000003,-0.40330149847545027,0.0,0.0,0.002044677734375,-0.4215913582868045,-0.9290179055736716
0,-0.5310986473731046,-0.011023183032329784,-0.007000000000000003,-0.3786941297565816,0.0,0.0,0.001983642578125,-0.3967173127889114,-0.9278159601620161
0,-0.5352434599027441,-0.010742080056610266,-0.007000000000000003,-0.3531663489091877,0.0,0.0,0.001983642578125,-0.37090842896579795,-0.906151888868542
0,-0.5413283347192606,-0.01046742953825675,-0.007000000000000003,-0.3288047573736381,0.0,0.0,0.00201416015625,-0.3462721869118949,-0.8876005216311554
0,-0.5416503661525596,-0.010236483343071354,-0.007000000000000003,-0.307118049661699,0.0,0.0,0.00189208984375,-0.32435453300477035,-0.8660048991573299
0,-0.4985802430226933,-0.009982240899589642,-0.007000000000000003,-0.28518962879465243,0.0,0.0,0.002655029296875,-0.3021718696942421,-0.8007521127169355
0,-0.5171481103369924,-0.0097588688517747,-0.007000000000000003,-0.2632747526810729,0.0,0.0,0.001983642578125,-0.28003362153284767,-0.79718173186984
0,-0.543175428086828,-0.00955753189647654,-0.007000000000000003,-0.24396932977690236,0.0,0.0,0.001922607421875,-0.2605268616733789,-0.8037022897602069
0,-0.5242877450077886,-0.009328059485286384,-0.007000000000000003,-0.22295219374612396,0.0,0.0,0.001983642578125,-0.23928025323141033,-0.763567998239199
0,-0.5517858625642743,-0.009161108652356028,-0.007000000000000003,-0.20685935426430674,0.0,0.0,0.002044677734375,-0.22302046291666278,-0.774806325480937
0,-0.514501158203615,-0.008978807955275293,-0.007000000000000003,-0.19047079145017862,0.0,0.0,0.00213623046875,-0.2064495994054539,-0.7209507576090688
0,-0.5608371092193886,-0.008813299020606798,-0.007000000000000003,-0.17477636317082446,0.0,0.0,0.00201416015625,-0.19058966219143125,-0.7514267714108197
0,-0.5360963508359475,-0.008660597959935366,-0.007000000000000003,-0.161005323402603,0.0,0.0,0.001983642578125,-0.1766659213625384,-0.7127622721984859
0,-0.5843027120772084,-0.00852248724386389,-0.007000000000000003,-0.14895619346751426,0.0,0.0,0.001983642578125,-0.16447868071137817,-0.7487813927885866
0,-0.5492658779781703,-0.008389198684934198,-0.007000000000000003,-0.13709318739313886,0.0,0.0,0.001861572265625,-0.15248238607807307,-0.7017482640562434
0,-0.516107189225627,-0.008275678242501062,-0.007000000000000003,-0.12661244111518127,0.0,0.0,0.00201416015625,-0.14188811935768236,-0.6579953085833095
0,-0.4976685243593124,-0.0081758218008718,-0.007000000000000003,-0.11848574203290375,0.0,0.0,0.002410888671875,-0.13366156383377556,-0.6313300881930879
0,-0.5098238894364315,-0.008082847167995339,-0.007000000000000003,-0.10915282930522317,0.0,0.0,0.0020751953125,-0.12423567647321851,-0.6340595659096501
0,-0.5248147693796724,-0.00799858826611004,-0.007000000000000003,-0.10109771231072393,0.0,0.0,0.001983642578125,-0.11609630057683396,-0.6409110699565064
0,-0.4905776143900569,-0.00791869173601672,-0.007000000000000003,-0.09360720241039414,0.0,0.0,0.001983642578125,-0.10852589414641087,-0.5991035085364678
0,-0.5309498877262523,-0.00784413465071192,-0.007000000000000003,-0.08661730817298466,0.0,0.0,0.002105712890625,-0.1014614428236966,-0.6324113305499489
0,-0.5332354545565015,-0.007774514167554307,-0.007000000000000003,-0.08070462841967223,0.0,0.0,0.001953125,-0.09547914258722653,-0.6287145971437278
0,-0.5176069149607522,-0.007712925174909216,-0.007000000000000003,-0.07499575961287473,0.0,0.0,0.001953125,-0.08970868478778396,-0.607315599748536
0,-0.5393533100574723,-0.007658649622247413,-0.007000000000000003,-0.07004546740933364,0.0,0.0,0.001861572265625,-0.08470411703158104,-0.6240574270890534
0,-0.5335728236263255,-0.007604602199589857,-0.007000000000000003,-0.06528130105920071,0.0,0.0,0.001953125,-0.07988590325879058,-0.6134587268851162
0,-0.5264927720640855,-0.0075578624716222806,-0.007000000000000003,-0.06094835539385796,0.0,0.0,0.0020751953125,-0.07550621786548023,-0.6019989899295658
