,task_reward,velocity_penalty,position_penalty,acceleration_penalty,velocity_over_limit,position_over_limit,acceleration_over_limit,control_penalty,goal_reached,net_reward
0,1.5651631975222724,-0.26918580125771796,-0.007143980793195528,-1.9747894509870412,0.000152587890625,0.0,1.313201904296875,-2.251119233037955,False,-0.6859560355156821
0,1.7814823814535172,-0.2657866395312283,-0.008001760494413536,-1.9695396348758196,0.000274658203125,0.0,1.304290771484375,-2.2433280349014613,False,-0.46184565344794404
0,2.362200450915702,-0.25990591273565355,-0.008356526097759531,-2.0307385542385608,0.00018310546875,0.0,1.36212158203125,-2.2990009930719735,False,0.06319945784372802
0,2.5987196706709588,-0.2604676041172827,-0.014706828920068547,-2.0657338628508812,0.000244140625,0.001220703125,1.404022216796875,-2.340908295888233,False,0.25781137478272576
0,2.9787115905212858,-0.2581801710778522,-0.06340592057275068,-2.1270014692415424,0.000244140625,0.01568603515625,1.469482421875,-2.448587560892146,False,0.5301240296291403
0,2.9781782452220025,-0.2555566337249401,-0.10277473368541612,-2.0906586206069457,6.103515625e-05,0.02496337890625,1.450225830078125,-2.448989988017302,False,0.5291882572047005
0,3.083716847431024,-0.25547034215175524,-0.06478398831557713,-2.0288991745246334,0.000244140625,0.013671875,1.39874267578125,-2.349153504991966,False,0.7345633424390582
0,2.8451926979832267,-0.2579575872907131,-0.07884652185866042,-1.925453561781198,0.000244140625,0.0135498046875,1.300018310546875,-2.2622576709305715,False,0.5829350270526551
0,2.860706252700253,-0.255001397309231,-0.08624250636435203,-1.8468768072384778,0.000274658203125,0.011474609375,1.2265625,-2.188120710912061,False,0.672585541788193
0,3.27276618921607,-0.25232952285502147,-0.02617592460885121,-1.767214040297445,0.000213623046875,0.0025634765625,1.156219482421875,-2.0457194877613176,False,1.227046701454752
0,3.465979997046473,-0.25266283071904094,-0.015430620952571118,-1.6831160326500805,0.000335693359375,0.000274658203125,1.0799560546875,-1.9512094843216925,False,1.5147705127247804
0,3.022976328475128,-0.25664839879681395,-0.008629059249138891,-1.3652496075316383,3.0517578125e-05,0.0,0.810546875,-1.630527065577591,False,1.3924492628975367
0,3.336061711299381,-0.2524232913733581,-0.009315844270913703,-1.3366586656334873,6.103515625e-05,0.00018310546875,0.793548583984375,-1.598397801277759,False,1.737663910021622
0,3.5802350724584735,-0.2487406192270456,-0.008326863884934851,-1.3602109020925912,3.0517578125e-05,0.0001220703125,0.81640625,-1.6172783852045716,False,1.962956687253902
0,3.6568011824211015,-0.24661333548070244,-0.010698371921721652,-1.2804304506709232,3.0517578125e-05,0.0010986328125,0.753997802734375,-1.5377421580733475,False,2.119059024347754
0,3.829253702717047,-0.2432502340780357,-0.007000000000000003,-1.3138930978659418,0.0,0.0,0.784820556640625,-1.5641433319439773,False,2.2651103707730695
0,3.8246655047447584,-0.2412955755385918,-0.007000000000000003,-1.2447219733648875,3.0517578125e-05,0.0,0.72613525390625,-1.4930175489034792,False,2.3316479558412793
0,3.881829307538788,-0.23865697399654845,-0.007000000000000003,-1.2037879547303283,3.0517578125e-05,0.0,0.691802978515625,-1.4494449287268765,False,2.4323843788119106
0,3.8760939508943335,-0.23483214118770485,-0.007000000000000003,-1.1018088447043506,3.0517578125e-05,0.0,0.6097412109375,-1.3436409858920553,False,2.532452965002278
0,3.9473187857733882,-0.23316293781682662,-0.007000000000000003,-1.1192305921000592,0.0,0.0,0.634490966796875,-1.359393529916886,False,2.5879252558565025
0,3.9532097682573166,-0.22948181081609256,-0.007000000000000003,-1.0568738223414498,0.0,0.0,0.587188720703125,-1.2933556331575424,False,2.659854135099774
0,4.023565395467594,-0.22685846870925913,-0.007000000000000003,-1.0809208073556635,0.0,0.0,0.608306884765625,-1.3147792760649226,False,2.7087861194026717
0,4.036996898017828,-0.22323839705593498,-0.007000000000000003,-0.9838351605015394,0.0,0.0,0.5322265625,-1.2140735575574744,False,2.822923340460354
0,4.063730323900279,-0.22135073850996762,-0.007000000000000003,-0.9359465876293989,0.0,0.0,0.494140625,-1.1642973261393663,False,2.8994329977609112
0,4.109792395563957,-0.21474674348957934,-0.007000000000000003,-0.9173935670507667,0.0,0.0,0.482025146484375,-1.139140310540346,False,2.9706520850236116
0,4.110142332922848,-0.21493908043315052,-0.007000000000000003,-0.8557917986604042,0.0,0.0,0.43927001953125,-1.0777308790935545,False,3.032411453829293
0,4.143731928083679,-0.21079802627111704,-0.007000000000000003,-0.8283856995715231,0.0,0.0,0.420684814453125,-1.04618372584264,False,3.0975482022410388
0,4.169489490587483,-0.20853230599741562,-0.007000000000000003,-0.7964176346180845,0.0,0.0,0.4000244140625,-1.0119499406155001,False,3.1575395499719834
0,4.202867413013911,-0.20451193200992196,-0.007000000000000003,-0.770689905627054,0.0,0.0,0.37744140625,-0.9822018376369759,False,3.220665575376935
0,4.26978821998571,-0.20143687611199618,-0.007000000000000003,-0.7734623282031426,0.0,0.0,0.38934326171875,-0.9818992043151389,False,3.2878890156705705
0,4.292991806602302,-0.1981213000280947,-0.007000000000000003,-0.7446324923258476,0.0,0.0,0.367034912109375,-0.9497537923539423,False,3.3432380142483606
0,4.219094311940996,-0.1988174199336678,-0.007000000000000003,-0.6661537016996677,0.0,0.0,0.30413818359375,-0.8719711216333355,False,3.34712319030766
0,4.319447813026294,-0.19079736506637285,-0.007000000000000003,-0.6641123963773441,0.0,0.0,0.30828857421875,-0.8619097614437168,False,3.4575380515825764
0,4.352351373477151,-0.18672277664884984,-0.007000000000000003,-0.6341966825205096,0.0,0.0,0.287872314453125,-0.8279194591693595,False,3.524431914307792
