,task_reward,velocity_penalty,position_penalty,acceleration_penalty,velocity_over_limit,position_over_limit,acceleration_over_limit,control_penalty,net_reward,goals_reached
0,0.9714846236069912,-0.2836085824725905,-0.007000000000000003,-1.6583837687871366,0.0,0.0,1.0133056640625,-1.9489923512597271,-0.9775077276527359,0
0,1.5061007787950331,-0.2826624382460617,-0.007000000000000003,-1.6179665148121156,0.0,0.0,0.98583984375,-1.9076289530581776,-0.40152817426314424,0
0,2.2652012011590648,-0.2771873649329484,-0.007000000000000003,-1.66743256428464,0.0,0.0,1.030181884765625,-1.9516199292175882,0.31358127194147684,0
0,2.8695944297980076,-0.27494831958229177,-0.007000000000000003,-1.638337211525641,6.103515625e-05,0.0,1.015838623046875,-1.9202855311079325,0.9493088986900751,2
0,3.2508515104847446,-0.2720115156646833,-0.007000000000000003,-1.7024315526833425,6.103515625e-05,0.0,1.074920654296875,-1.9814430683480255,1.269408442136719,4
0,3.52716540403937,-0.2688861381553532,-0.007000000000000003,-1.7775957078846634,0.000213623046875,0.0,1.1483154296875,-2.0534818460400164,1.4736835579993535,7
0,3.8504107040970132,-0.2619957155411903,-0.007000000000000003,-1.9078580828680072,0.000213623046875,0.0,1.2740478515625,-2.1768537984091973,1.673556905687816,11
0,4.478206952594759,-0.2554581098997326,-0.007000000000000003,-2.048786488004377,0.000335693359375,0.0,1.40826416015625,-2.3112445979041096,2.166962354690649,27
0,4.569508966585527,-0.25496186436789253,-0.007000000000000003,-2.0541572935117087,0.00018310546875,0.0,1.4130859375,-2.316119157879601,2.253389808705926,38
0,4.968040350905509,-0.24991719611580218,-0.007000000000000003,-2.1859131657683593,9.1552734375e-05,0.0,1.539520263671875,-2.4428303618841607,2.5252099890213486,34
0,4.991298765799576,-0.2512150589956542,-0.007000000000000003,-2.140216686458582,0.00018310546875,0.0,1.497802734375,-2.398431745454236,2.5928670203453397,51
0,5.5042014782596045,-0.24714907016705173,-0.007000000000000003,-2.191272535131489,0.000274658203125,0.0,1.539215087890625,-2.4454216052985407,3.058779872961063,53
0,5.503277488483458,-0.24512225450850372,-0.007000000000000003,-2.139222565346601,6.103515625e-05,0.0,1.501556396484375,-2.3913448198551044,3.111932668628354,52
0,5.411670286303266,-0.24381659262022556,-0.007000000000000003,-2.0743093601778173,0.00018310546875,0.0,1.43402099609375,-2.325125952798043,3.0865443335052234,46
0,5.881543303638489,-0.24078594042799922,-0.007000000000000003,-2.136847445595098,9.1552734375e-05,0.0,1.493499755859375,-2.384633386023097,3.4969099176153913,61
0,5.860853829230215,-0.23953598587044905,-0.007000000000000003,-2.0891638610578007,6.103515625e-05,0.0,1.4559326171875,-2.3356998469282497,3.5251539823019655,56
0,5.939426288763283,-0.23824475910160905,-0.007000000000000003,-2.003103550694277,9.1552734375e-05,0.0,1.369171142578125,-2.248348309795886,3.691077978967397,61
0,6.035605560736848,-0.23406821899794047,-0.007000000000000003,-2.0302958032176224,3.0517578125e-05,0.0,1.399871826171875,-2.271364022215563,3.7642415385212855,62
0,6.141581770040142,-0.23327106193721525,-0.007000000000000003,-1.9304536339292857,3.0517578125e-05,0.0,1.308013916015625,-2.1707246958665007,3.970857074173641,62
0,6.183314336227227,-0.22899516637750134,-0.007000000000000003,-1.8961099635218415,0.0,0.0,1.274139404296875,-2.132105129899343,4.051209206327885,64
0,6.207863339271338,-0.22626215714041453,-0.007000000000000003,-1.8392258568990356,9.1552734375e-05,0.0,1.23052978515625,-2.07248801403945,4.1353753252318874,80
0,6.095328478667164,-0.22768767399977052,-0.007000000000000003,-1.6619001100465014,0.0,0.0,1.069091796875,-1.8965877840462717,4.198740694620892,64
0,6.1843732172708155,-0.22446888067812498,-0.007000000000000003,-1.6312181528900358,0.0,0.0,1.043182373046875,-1.862687033568161,4.321686183702654,64
0,6.324491254168563,-0.22011790220241756,-0.007000000000000003,-1.6079075166353762,0.0,0.0,1.02587890625,-1.8350254188377937,4.489465835330769,64
0,6.35897027821995,-0.21664510315594288,-0.007000000000000003,-1.5436802468584694,0.0,0.0,0.96881103515625,-1.7673253500144122,4.591644928205539,64
0,6.350932416720402,-0.21492003698668158,-0.007000000000000003,-1.3951570249486458,0.0,0.0,0.840179443359375,-1.6170770619353272,4.733855354785075,64
0,6.354388402416091,-0.21274642308647806,-0.007000000000000003,-1.29325528541045,0.0,0.0,0.759613037109375,-1.5130017084969283,4.841386693919164,64
0,6.42738351178195,-0.20687830975849997,-0.007000000000000003,-1.241579206744781,0.0,0.0,0.71319580078125,-1.455457516503281,4.971925995278669,64
0,6.410972295835906,-0.2049649234743739,-0.007000000000000003,-1.1326466117006573,0.0,0.0,0.6231689453125,-1.3446115351750312,5.066360760660874,64
0,6.394434217402875,-0.2032648329814183,-0.007000000000000003,-1.0431956333532308,0.0,0.0,0.5518798828125,-1.2534604663346491,5.140973751068225,64
0,6.359078412794675,-0.19866544059561372,-0.007000000000000003,-0.9635055632122579,0.0,0.0,0.4903564453125,-1.1691710038078715,5.189907408986803,64
0,6.342121574679926,-0.1989703029637367,-0.007000000000000003,-0.8976904023192089,0.0,0.0,0.4310302734375,-1.1036607052829455,5.238460869396981,80
0,6.444348172677052,-0.19592610647865794,-0.007000000000000003,-0.8560420042661891,0.0,0.0,0.40509033203125,-1.0589681107448472,5.385380061932205,64
0,6.517064252024335,-0.18934217820780427,-0.007000000000000003,-0.8292324843061847,0.0,0.0,0.390869140625,-1.025574662513989,5.491489589510347,64
0,6.487397155005636,-0.18783682927209502,-0.007000000000000003,-0.7646223056781392,0.0,0.0,0.3487548828125,-0.9594591349502342,5.5279380200554025,64
0,6.530169927818147,-0.18482750773336606,-0.007000000000000003,-0.6723014842429953,0.0,0.0,0.27557373046875,-0.8641289919763614,5.666040935841785,64
0,6.568721142063733,-0.1796677634619958,-0.007000000000000003,-0.6732936281056661,0.0,0.0,0.290252685546875,-0.8599613915676619,5.708759750496071,64
0,6.608445254184828,-0.1747399552957639,-0.007000000000000003,-0.6106192899599581,0.0,0.0,0.243316650390625,-0.792359245255722,5.816086008929105,64
0,6.533339585306258,-0.1744502226055582,-0.007000000000000003,-0.5348516665118297,0.0,0.0,0.191162109375,-0.7163018891173879,5.81703769618887,64
0,6.598364982171044,-0.17052937650291553,-0.007000000000000003,-0.504674001149747,0.0,0.0,0.1724853515625,-0.6822033776526626,5.916161604518381,64
0,6.565887179418439,-0.16829903392302464,-0.007000000000000003,-0.44932696074077205,0.0,0.0,0.140838623046875,-0.6246259946637966,5.941261184754643,64
0,6.509182723848098,-0.16388601304792072,-0.007000000000000003,-0.42818208692439164,0.0,0.0,0.13092041015625,-0.5990680999723124,5.910114623875785,80
0,6.555402915546269,-0.1603780953455235,-0.007000000000000003,-0.35995687081339195,0.0,0.0,0.08648681640625,-0.5273349661589154,6.028067949387353,64
0,6.59703171622746,-0.15778689310731556,-0.007000000000000003,-0.34659849772271173,0.0,0.0,0.08624267578125,-0.5113853908300272,6.085646325397432,64
0,6.6386671059830995,-0.15191076645601792,-0.007000000000000003,-0.32214117907681716,0.0,0.0,0.07891845703125,-0.48105194553283503,6.157615160450263,64
0,6.6329759867783356,-0.14899661715549864,-0.007000000000000003,-0.2756543088536923,0.0,0.0,0.051788330078125,-0.43165092600919086,6.201325060769145,64
0,6.584320214676805,-0.14838897122295697,-0.007000000000000003,-0.25261733105013895,0.0,0.0,0.045257568359375,-0.4080063022730959,6.1763139124037085,64
0,6.589016381970255,-0.14548905680694751,-0.007000000000000003,-0.2291809509143251,0.0,0.0,0.037109375,-0.3816700077212727,6.207346374248981,64
0,6.610728682476675,-0.13921854904450376,-0.007000000000000003,-0.2150487125163648,0.0,0.0,0.03289794921875,-0.3612672615608685,6.249461420915806,64
0,6.6258590199136,-0.1361081664560302,-0.007000000000000003,-0.20483363004592478,0.0,0.0,0.03173828125,-0.347941796501955,6.277917223411646,64
0,6.5647923305396745,-0.13598163481290237,-0.007000000000000003,-0.18062273053768957,0.0,0.0,0.025177001953125,-0.32360436535059195,6.2411879651890825,64
0,6.607708407725945,-0.12820431610860702,-0.007000000000000003,-0.17952820585659002,0.0,0.0,0.030792236328125,-0.3147325219651971,6.292975885760748,64
0,6.536278277622516,-0.12958373523309455,-0.007000000000000003,-0.16015171191921296,0.0,0.0,0.024383544921875,-0.29673544715230754,6.239542830470209,80
0,6.60495372260959,-0.12411704050829839,-0.007000000000000003,-0.15008184004291306,0.0,0.0,0.02130126953125,-0.28119888055121145,6.323754842058379,64
0,6.571388109736857,-0.1187552734223947,-0.007000000000000003,-0.1652017063870549,0.0,0.0,0.0352783203125,-0.2909569798094496,6.280431129927408,64
0,6.665926088067367,-0.11691689116466747,-0.007000000000000003,-0.15171474572056434,0.0,0.0,0.02899169921875,-0.27563163688523185,6.390294451182135,64
0,6.624806001924754,-0.11610838987319061,-0.007000000000000003,-0.13326296536255225,0.0,0.0,0.022979736328125,-0.25637135523574284,6.368434646689011,64
0,6.635146556701627,-0.11333603337664824,-0.007000000000000003,-0.1236544052530804,0.0,0.0,0.018035888671875,-0.24399043862972866,6.391156118071898,64
0,6.238734627715871,-0.1006371806221576,-0.007000000000000003,-0.240594781584007,0.0,0.0,0.09173583984375,-0.3482319622061646,5.8905026655097075,64
0,6.414683608317089,-0.10519520532445772,-0.007000000000000003,-0.18020115505240863,0.0,0.0,0.05548095703125,-0.29239636037686634,6.122287247940223,50
0,6.584757999081007,-0.10956764438683184,-0.007000000000000003,-0.14325720368406042,0.0,0.0,0.0362548828125,-0.25982484807089223,6.324933151010114,64
0,6.657607587229209,-0.1054382590919825,-0.007000000000000003,-0.1381636788386919,0.0,0.0,0.032867431640625,-0.2506019379306744,6.407005649298535,64
0,6.588854955836217,-0.108027881264915,-0.007000000000000003,-0.13747468668800014,0.0,0.0,0.036468505859375,-0.2525025679529152,6.336352387883302,80
0,6.596433100779798,-0.10221933181788398,-0.007000000000000003,-0.13598730111759877,0.0,0.0,0.037109375,-0.24520663293548273,6.351226467844315,64
0,6.6494143136751545,-0.09840131613310417,-0.007000000000000003,-0.1369300289665635,0.0,0.0,0.038116455078125,-0.2423313450996677,6.407082968575486,64
