,task_reward,velocity_penalty,position_penalty,acceleration_penalty,velocity_over_limit,position_over_limit,acceleration_over_limit,control_penalty,net_reward,goals_reached
0,-407.0213348615979,-0.09332218578891815,-0.014000000000000005,-1.5180774527932375,0.001953125,0.0,0.52001953125,-1.6253996385821552,-408.64673450018,0
0,-353.580491698916,-0.09071210179787151,-0.014000000000000005,-1.4877492808701533,0.001495361328125,0.0,0.508575439453125,-1.592461382668025,-355.17295308158396,0
0,-224.68867799476877,-0.09448374350551277,-0.014000000000000005,-1.5482257424383912,0.000885009765625,0.0,0.528411865234375,-1.656709485943904,-226.34538748071265,0
0,-398.7372085597692,-0.0986572241312589,-0.014000000000000005,-1.6077188334121975,0.000213623046875,0.0,0.554412841796875,-1.7203760575434561,-400.4575846173127,0
0,-353.5491245390482,-0.09129809376345369,-0.014000000000000005,-1.4937336023178291,0.001434326171875,0.0,0.5076904296875,-1.5990316960812827,-355.1481562351295,0
0,-427.47815146070263,-0.09350200041646749,-0.014000000000000005,-1.5006915082677472,0.000762939453125,0.0,0.50775146484375,-1.6081935086842145,-429.0863449693868,0
0,-466.9475474726646,-0.09690621427035012,-0.014000000000000005,-1.5293644914054554,0.0009765625,0.0,0.517578125,-1.6402707056758055,-468.5878181783404,0
0,-341.7926162540277,-0.09476881294464654,-0.014000000000000005,-1.5645180660770746,0.0009765625,0.0,0.529693603515625,-1.6732868790217208,-343.46590313304944,0
0,-513.4311320796864,-0.0983852790572129,-0.014000000000000005,-1.5927558439487175,0.0009765625,0.0,0.544952392578125,-1.7051411230059306,-515.1362732026925,0
0,-325.39236650997435,-0.0955588517606414,-0.014000000000000005,-1.560277312291556,0.00048828125,0.0,0.527008056640625,-1.6698361640521973,-327.0622026740266,0
0,-373.9099461090905,-0.10074625630284866,-0.014000000000000005,-1.6646246295391602,0.000762939453125,0.0,0.56103515625,-1.7793708858420083,-375.68931699493254,0
0,-419.045814447011,-0.09561387493381958,-0.014000000000000005,-1.5492286864932536,0.0009765625,0.0,0.53314208984375,-1.6588425614270732,-420.7046570084382,0
0,-437.9790108972124,-0.09622725317564101,-0.014000000000000005,-1.6008062743736036,0.001953125,0.0,0.555999755859375,-1.7110335275492445,-439.69004442476165,0
0,-379.615423693559,-0.10047596553896734,-0.014000000000000005,-1.582933076267432,0.00079345703125,0.0,0.542266845703125,-1.6974090418063992,-381.3128327353654,0
0,-451.9070637631801,-0.09789708078346551,-0.014000000000000005,-1.545325465258062,0.0009765625,0.0,0.5325927734375,-1.6572225460415275,-453.56428630922164,0
0,-438.8174735160855,-0.10126620793799732,-0.014000000000000005,-1.5918044662177404,0.0009765625,0.0,0.545989990234375,-1.7070706741557373,-440.5245441902413,0
0,-328.9785732698648,-0.09951590127800233,-0.014000000000000005,-1.5733783510915402,0.0,0.0,0.541748046875,-1.6868942523695423,-330.6654675222344,0
0,-277.0744044319935,-0.10306288666914193,-0.014000000000000005,-1.588721802785858,0.00146484375,0.0,0.551300048828125,-1.7057846894549997,-278.78018912144853,0
0,-352.4738630727795,-0.10094711531452179,-0.014000000000000005,-1.6194578237451607,0.000823974609375,0.0,0.565826416015625,-1.734404939059682,-354.20826801183915,0
0,-318.31029402490776,-0.103533817739002,-0.014000000000000005,-1.6206373148264794,0.0009765625,0.0,0.575439453125,-1.7381711325654812,-320.04846515747323,0
0,-329.91311068676015,-0.09989864057771657,-0.014000000000000005,-1.6805401470766919,0.00048828125,0.0,0.57672119140625,-1.7944387876544083,-331.7075494744145,0
0,-410.258753046861,-0.09780664653127029,-0.014000000000000005,-1.5667754817550752,0.0009765625,0.0,0.543365478515625,-1.6785821282863456,-411.93733517514727,0
0,-443.82882328589153,-0.10320992416361302,-0.014000000000000005,-1.5897376250241937,0.001861572265625,0.0,0.549224853515625,-1.7069475491878066,-445.5357708350793,0
0,-443.28415546231406,-0.10586663325355758,-0.014000000000000005,-1.6424633937108815,0.00189208984375,0.0,0.58642578125,-1.7623300269644393,-445.04648548927855,0
0,-289.31901240859224,-0.10328434262070214,-0.014000000000000005,-1.635153824954174,9.1552734375e-05,0.0,0.576019287109375,-1.752438167574876,-291.07145057616714,0
0,-411.7835798575261,-0.10734049897845993,-0.014000000000000005,-1.6503368571444437,0.0009765625,0.0,0.58209228515625,-1.7716773561229036,-413.555257213649,0
0,-326.8017090817932,-0.10422238068625891,-0.014000000000000005,-1.5979451870862555,0.00048828125,0.0,0.551849365234375,-1.7161675677725141,-328.5178766495657,1
0,-449.3995724937693,-0.10841763643545976,-0.014000000000000005,-1.613435233101526,0.000335693359375,0.0,0.566619873046875,-1.7358528695369855,-451.1354253633063,0
