,task_reward,velocity_penalty,position_penalty,acceleration_penalty,velocity_over_limit,position_over_limit,acceleration_over_limit,control_penalty,net_reward,goals_reached
0,0.08200937895382077,-0.05011834496040765,-0.007000000000000003,-0.7766161719580139,0.00048828125,0.0,0.533355712890625,-0.8337345169184216,-0.7517251379646008,0
0,-0.4154604801691376,-0.05264184141017769,-0.007000000000000003,-0.8138380332205142,0.0009765625,0.0,0.567962646484375,-0.8734798746306919,-1.2889403547998293,0
0,-0.6731344722083492,-0.045873873166656025,-0.007000000000000003,-0.7651030135885748,0.00146484375,0.0,0.5205078125,-0.8179768867552308,-1.4911113589635798,0
0,1.267211876096062,-0.05020422179429822,-0.007000000000000003,-0.7507467479732788,0.00103759765625,0.0,0.50665283203125,-0.8079509697675769,0.4592609063284849,0
0,0.8069219462300299,-0.04761805029792135,-0.007000000000000003,-0.7560719335866672,6.103515625e-05,0.0,0.510528564453125,-0.8106899838845886,-0.003768037654558576,0
0,-0.3346353741141025,-0.04803900838258558,-0.007000000000000003,-0.7193693751065551,9.1552734375e-05,0.0,0.478057861328125,-0.7744083834891405,-1.109043757603243,0
0,0.662110486466107,-0.046424013395711894,-0.007000000000000003,-0.7441535026366467,0.00048828125,0.0,0.500457763671875,-0.7975775160323585,-0.1354670295662514,0
0,-0.0351312221846245,-0.04967951050230299,-0.007000000000000003,-0.751665805434875,0.00091552734375,0.0,0.506622314453125,-0.8083453159371781,-0.8434765381218026,0
0,1.4617630101418895,-0.04487296948080692,-0.007000000000000003,-0.7840575557604487,0.00115966796875,0.0,0.502655029296875,-0.8359305252412554,0.625832484900634,0
0,1.159285147471321,-0.047100596553811776,-0.007000000000000003,-0.695246621637549,0.00042724609375,0.0,0.453277587890625,-0.7493472181913607,0.40993792927996,0
0,0.7851272710415799,-0.04606070242252808,-0.007000000000000003,-0.7549799134915671,0.00146484375,0.0,0.449462890625,-0.8080406159140952,-0.022913344872515284,0
0,1.6952297108022683,-0.047342372110169985,-0.007000000000000003,-0.6842537753039453,0.000701904296875,0.0,0.429931640625,-0.7385961474141153,0.9566335633881533,0
0,1.5798122866018338,-0.0526199408994561,-0.007003836687945413,-0.6965263520865577,0.0009765625,0.0,0.4290771484375,-0.7561501296739593,0.8236621569278745,0
0,0.6105211472875671,-0.0517872718035088,-0.007000000000000003,-0.6369054836710986,9.1552734375e-05,0.0,0.38897705078125,-0.6956927554746073,-0.08517160818704014,0
0,1.3782269787792887,-0.05062372067260828,-0.007000000000000003,-0.676354189131822,0.0009765625,0.0,0.401824951171875,-0.7339779098044303,0.6442490689748583,0
0,1.2736127248871332,-0.05038048529214782,-0.0075830138124352645,-0.6367747702115405,0.000732421875,0.0,0.377197265625,-0.6947382693161235,0.5788744555710095,0
0,1.276513042630345,-0.05291556291552112,-0.08624784674803256,-0.6978643665108545,0.0009765625,0.006256103515625,0.415283203125,-0.8370277761744082,0.4394852664559369,0
0,1.7382330958195416,-0.05269653083157738,-0.007000000000000003,-0.6279820764002385,0.00152587890625,0.0,0.3721923828125,-0.687678607231816,1.0505544885877256,0
0,1.1864163629879405,-0.058562828335809294,-0.08501488792068089,-0.6767315894017214,0.00048828125,0.007781982421875,0.398956298828125,-0.8203093056582116,0.3661070573297289,0
0,2.1162163939569654,-0.04768115845197965,-0.03212951213141594,-0.5734178188415666,0.00146484375,0.012786865234375,0.316864013671875,-0.6532284894249621,1.4629879045320031,2
0,1.4284437292207488,-0.05205266031559468,-0.08383982398528031,-0.6387039795778802,0.00018310546875,0.046783447265625,0.3502197265625,-0.7745964638787552,0.6538472653419937,0
0,1.23895891099651,-0.05709995987778261,-0.04090276796096546,-0.6093387607087135,0.0009765625,0.0107421875,0.34405517578125,-0.7073414885474616,0.5316174224490485,0
0,1.3271582930183659,-0.05709058815184766,-0.10289537576095725,-0.6285791377630543,9.1552734375e-05,0.05999755859375,0.34771728515625,-0.7885651016758592,0.5385931913425067,0
0,1.432094047363838,-0.05052948773631116,-0.007000000000000003,-0.525880114405609,0.0,0.0,0.275299072265625,-0.5834096021419202,0.8486844452219178,0
0,1.7689589604355986,-0.04995236603830956,-0.007000000000000003,-0.5256577727509555,0.00048828125,0.0,0.269073486328125,-0.582610138789265,1.1863488216463334,1
0,2.0720107263983083,-0.05219488569513795,-0.007000000000000003,-0.5164201855427841,0.00146484375,0.0,0.26861572265625,-0.575615071237922,1.4963956551603865,0
0,2.257766138871188,-0.05006483576212048,-0.06961897550583576,-0.6101103253801705,0.00079345703125,0.003265380859375,0.337921142578125,-0.7297941366481268,1.5279720022230614,0
0,2.020260916806823,-0.055158167644023676,-0.007572297957644676,-0.5434421540715016,0.0010986328125,0.0,0.270538330078125,-0.6061726196731699,1.414088297133653,0
0,2.0232865336345927,-0.05061870337211725,-0.007308230430975611,-0.4962191454626369,0.0,0.0,0.247283935546875,-0.5541460792657297,1.4691404543688629,0
0,1.7789934596975179,-0.04992284522874049,-0.11030011287910982,-0.4952195844857462,0.0009765625,0.08709716796875,0.227630615234375,-0.6554425425935966,1.1235509171039215,0
0,2.435534178839825,-0.052828011842745465,-0.056281155786504375,-0.6039319141415638,0.0009765625,0.02484130859375,0.295440673828125,-0.7130410817708135,1.7224930970690109,0
0,1.8444725954607026,-0.05792482007349371,-0.1647967420856428,-0.5804081615715728,0.0009765625,0.087554931640625,0.30072021484375,-0.8031297237307093,1.041342871729993,0
0,1.6966460241152848,-0.05488075739234041,-0.2146147398848733,-0.5792268154714859,0.0,0.1146240234375,0.296844482421875,-0.8487223127486996,0.8479237113665852,0
