,task_reward,velocity_penalty,position_penalty,acceleration_penalty,velocity_over_limit,position_over_limit,acceleration_over_limit,control_penalty,c_hockey_puck-table,c_panda0_finger1-hockey_puck,c_panda0_finger2-hockey_puck,c_panda0_finger1-table,c_panda0_finger2-table,contact_hockey_puck-table,contact_panda0_finger1-hockey_puck,contact_panda0_finger2-hockey_puck,contact_panda0_finger1-table,contact_panda0_finger2-table,net_reward,goals_reached
0,3.30583715069775,-0.08378222885585994,-0.021,-10.22905394459107,0.0,0.0,2.871185302734375,-10.33383617344693,5.221002444791213e-07,0.0,0.0,0.0,0.0,0.98388671875,0.0,0.0,0.0,0.0,-7.0279995448494255,0
0,3.443450710780165,-0.08233650696222763,-0.021,-10.276911969940514,0.0,0.0,2.93731689453125,-10.380248476902743,4.2207328837123795e-07,0.0,0.0,0.0,0.0,0.9857177734375,0.0,0.0,0.0,0.0,-6.936798188195866,0
0,4.508544808699444,-0.08296960042345362,-0.021,-9.161617549511849,0.0,0.0,2.4769287109375,-9.265587149935303,4.221148218067314e-07,0.0,0.0,0.0,0.0,0.9859619140625,0.0,0.0,0.0,0.0,-4.7570427633506815,0
0,2.897088512108521,-0.08623966212876309,-0.021,-8.189205245265162,0.0,0.0,2.14752197265625,-8.296444907393926,4.2208174770800394e-07,0.0,0.0,0.0,0.0,0.985137939453125,0.0,0.0,0.0,0.0,-5.399356817367152,0
0,3.8730728891279753,-0.09353208562388798,-0.026711641161242455,-7.093909012157272,0.0,0.0,1.832061767578125,-7.214152738942403,4.220435188247252e-07,0.0,0.0,0.0,0.0,0.985260009765625,0.0,0.0,0.0,0.0,-3.341080271857946,0
0,3.3401399905739053,-0.10176304430059868,-0.42257568577786353,-6.2397012180606115,0.0,0.001190185546875,1.665771484375,-6.764039948139073,4.2204910238820406e-07,0.0,0.0,0.0,0.0,0.98590087890625,0.0,0.0,0.0,0.0,-3.42390037961427,0
0,3.1230718829239175,-0.10321991336729473,-0.9531755014519525,-6.1248460273724525,0.0,0.009613037109375,1.676849365234375,-7.1812414421917,4.2211774155005296e-07,0.0,0.0,0.0,0.0,0.985687255859375,0.0,0.0,0.0,0.0,-4.058169981385525,0
0,3.5391672308566684,-0.10535364788030721,-1.0515392452022116,-6.077253664005921,0.0,0.008697509765625,1.66650390625,-7.23414655708844,4.2208009461687435e-07,0.0,0.0,0.0,0.0,0.985443115234375,0.0,0.0,0.0,0.0,-3.6949797483118663,0
0,3.5950077172234094,-0.10667015114342134,-1.3385391399970277,-6.162193279944855,0.0,0.01348876953125,1.672882080078125,-7.607402571085304,4.220751714717537e-07,0.0,0.0,0.0,0.0,0.985595703125,0.0,0.0,0.0,0.0,-4.012395275937065,16
0,2.6883501178832936,-0.11332373798777037,-1.230121522258188,-6.219989456976766,0.0,0.016387939453125,1.6881103515625,-7.563434717222725,4.220951216115275e-07,0.0,0.0,0.0,0.0,0.985321044921875,0.0,0.0,0.0,0.0,-4.875085021434553,0
0,3.0772347262788307,-0.11401220324204897,-1.311807254957435,-5.785413178514519,0.0,0.024810791015625,1.579681396484375,-7.211232636714004,5.221304330770887e-07,0.0,0.0,0.0,0.0,0.983154296875,0.0,0.0,0.0,0.0,-4.133998432565606,0
0,2.9144147538695675,-0.11639773306176948,-1.500924361041249,-5.046160924408989,0.0,0.05389404296875,1.350830078125,-6.663483018512007,4.220027200650606e-07,0.0,0.0,0.0,0.0,0.98541259765625,0.0,0.0,0.0,0.0,-3.749068686645159,0
0,3.439773444494111,-0.1171457463662916,-1.5613760074849679,-4.731665556703509,0.0,0.06695556640625,1.24896240234375,-6.410187310554767,4.220639530846012e-07,0.0,0.0,0.0,0.0,0.98553466796875,0.0,0.0,0.0,0.0,-2.9704142881246103,16
0,4.220047712264039,-0.11468522318973214,-1.7843081025631076,-3.7054868048438987,0.0,0.116668701171875,0.959503173828125,-5.604480130596738,4.220534085178312e-07,0.0,0.0,0.0,0.0,0.98443603515625,0.0,0.0,0.0,0.0,-1.3844328403861081,0
0,3.539981227204803,-0.11635126898695108,-1.6248304269487293,-3.415868888301628,0.0,0.127685546875,0.8675537109375,-5.157050584237308,4.220526983668126e-07,0.0,0.0,0.0,0.0,0.986053466796875,0.0,0.0,0.0,0.0,-1.617069779085204,0
0,3.63199276675566,-0.11670519804393098,-1.529078147787875,-3.3091015020385144,0.0,0.1094970703125,0.82733154296875,-4.95488484787032,4.220376648301124e-07,0.0,0.0,0.0,0.0,0.98529052734375,0.0,0.0,0.0,0.0,-1.3228925031523244,0
0,3.3116716342223906,-0.11555053974654739,-1.7830653664807106,-3.0322369066166828,0.0,0.17437744140625,0.73724365234375,-4.9308528128439395,4.221087749046783e-07,0.0,0.0,0.0,0.0,0.985382080078125,0.0,0.0,0.0,0.0,-1.6191816007303244,0
0,2.9321400926097976,-0.11145582737256834,-1.3738661270531543,-2.8055743569999376,0.0,0.104461669921875,0.661224365234375,-4.2908963114256595,4.220784030619803e-07,0.0,0.0,0.0,0.0,0.98529052734375,0.0,0.0,0.0,0.0,-1.3587566408942648,0
0,4.156632378222746,-0.11243969075865023,-0.9182582368815679,-2.543518780688852,0.0,0.03790283203125,0.581085205078125,-3.5742167083290695,4.220952639696225e-07,0.0,0.0,0.0,0.0,0.986236572265625,0.0,0.0,0.0,0.0,0.5824152477984116,0
0,4.371150181992267,-0.11253534364261658,-0.9953734673491319,-2.522016882664497,0.0,0.03399658203125,0.597808837890625,-3.6299256936562445,4.2206788621048115e-07,0.0,0.0,0.0,0.0,0.985321044921875,0.0,0.0,0.0,0.0,0.7412240662681362,0
